experiment,tag,bin_size,Hz,day
stationary 6,98,0.264586207510411,3.77948650237428,14-10-2023
stationary 6,99,0.280749999895328,3.56188780186226,14-10-2023
STATIONARY 2,1,0.155766454218806,6.4198675190699,21-10-2023
STATIONARY 2,2,0.151367768275836,6.60642626492126,21-10-2023
STATIONARY 2,3,0.510028369037818,1.9606752500582,21-10-2023
STATIONARY 2,4,0.183919799656498,5.43715250814581,21-10-2023
STATIONARY 2,5,0.150262295222673,6.65502945045597,21-10-2023
STATIONARY 2,6,0.169136258250847,5.9123928265984,21-10-2023
STATIONARY 2,7,0.150418891064685,6.64810113225717,21-10-2023
STATIONARY 2,8,0.155128963905964,6.44624946123009,21-10-2023
STATIONARY 2,9,0.154557894656533,6.47006742827506,21-10-2023
STATIONARY 2,10,0.150224948953266,6.65668390615393,21-10-2023
STATIONARY 2,11,0.149307536010587,6.6975855788625,21-10-2023
STATIONARY 2,17,0.14798993939605,6.75721609239803,21-10-2023
STATIONARY 2,18,0.232224683218364,4.30617446061789,21-10-2023
STATIONARY 2,19,0.155347457881701,6.43718290363986,21-10-2023
STATIONARY 2,20,0.151192946058091,6.61406518010292,21-10-2023
STATIONARY 2,26,0.14881135919273,6.71991711805326,21-10-2023
STATIONARY 2,27,0.151789256363861,6.58808155435491,21-10-2023
STATIONARY 2,28,0.1499469387288,6.66902577990367,21-10-2023
STATIONARY 2,29,0.14951020406217,6.68850668937738,21-10-2023
STATIONARY 2,35,0.176846154034138,5.65463244288006,21-10-2023
STATIONARY 2,36,0.150590163762452,6.64053995968452,21-10-2023
STATIONARY 2,37,0.144440079016395,6.92328615997567,21-10-2023
STATIONARY 2,38,0.15122268027866,6.61276468686632,21-10-2023
STATIONARY 2,44,0.148862068841714,6.71762798798201,21-10-2023
STATIONARY 2,45,0.152833333114783,6.54307525472186,21-10-2023
STATIONARY 2,46,0.149058823653215,6.70876084683518,21-10-2023
STATIONARY 2,47,0.153386221549207,6.51949040728664,21-10-2023
STATIONARY 2,49,0.156238297705955,6.40047936186575,21-10-2023
STATIONARY 2,50,0.152738045753907,6.54715722637442,21-10-2023
STATIONARY 2,51,0.146774450937907,6.81317486531121,21-10-2023
STATIONARY 2,53,0.149287168945654,6.69849932222932,21-10-2023
STATIONARY 2,54,0.149985655897953,6.66730424328294,21-10-2023
STATIONARY 2,55,0.154945147691397,6.45389684607416,21-10-2023
STATIONARY 2,56,0.154046121633278,6.49156232820064,21-10-2023
STATIONARY 2,62,0.159556521540103,6.26737152670166,21-10-2023
STATIONARY 2,63,0.150190573735315,6.65820747021265,21-10-2023
STATIONARY 2,64,0.149202840081577,6.70228528795598,21-10-2023
STATIONARY 2,65,0.152195426381799,6.57049967777211,21-10-2023
STATIONARY 2,71,0.151997925334946,6.57903716643748,21-10-2023
STATIONARY 2,72,0.154415966582899,6.47601424988097,21-10-2023
STATIONARY 2,73,0.153751046088949,6.50402078839499,21-10-2023
STATIONARY 2,74,0.146796406862027,6.81215583798244,21-10-2023
STATIONARY 2,80,0.152985416849454,6.53657074375954,21-10-2023
STATIONARY 2,81,0.153882352744832,6.49847095630389,21-10-2023
STATIONARY 2,82,0.146955912003297,6.80476196138038,21-10-2023
STATIONARY 2,83,0.166624145790222,6.00153114218506,21-10-2023
STATIONARY 2,89,0.153263047741948,6.52472996415758,21-10-2023
STATIONARY 2,90,0.156993589849554,6.36968681943191,21-10-2023
STATIONARY 2,91,0.142300387685613,7.02738774127108,21-10-2023
STATIONARY 2,92,0.150680328001742,6.63656638701,21-10-2023
STATIONARY 2,93,0.147018000125885,6.80188819834132,21-10-2023
STATIONARY 2,94,0.152238589104775,6.56863680805509,21-10-2023
STATIONARY 2,95,0.152408713621717,6.56130464090149,21-10-2023
STATIONARY 2,96,0.144478346888475,6.9214523943295,21-10-2023
STATIONARY 2,97,0.149551934477268,6.68664035336835,21-10-2023
STATIONARY 2,98,0.151396694262166,6.60516403527512,21-10-2023
STATIONARY 2,99,0.146049701906815,6.84698419061504,21-10-2023
stationarity 1 - 22-12-2023,1,0.144809473690234,6.90562554035056,22-12-2023
stationarity 1 - 22-12-2023,2,0.144278825953821,6.93102396272662,22-12-2023
stationarity 1 - 22-12-2023,3,0.144729473716334,6.90944266100195,22-12-2023
stationarity 1 - 22-12-2023,4,0.145571428631979,6.86947987938011,22-12-2023
