degree,interaction,aic,bic,mad,day
9,FALSE,-1764817.97537587,-7.76685405661744,0.000645293595026488,22-12-2023
10,TRUE,-1922943.07866743,-8.45863109522409,0.00485371156091923,22-12-2023
10,FALSE,-1773498.31052365,-7.80488218158637,0.000682135093271198,22-12-2023
11,TRUE,-1957091.54213265,-8.60785794402138,0.0270379871401478,22-12-2023
11,FALSE,-1791995.44640878,-7.88612300139424,0.00066458893166035,22-12-2023
12,TRUE,-2004922.42368521,-8.81722262172645,0.0844616384145569,22-12-2023
12,FALSE,-1792562.55029521,-7.88843739476821,0.000713329431287375,22-12-2023
13,TRUE,-2083865.46991963,-9.16344934235377,0.0503503374919289,22-12-2023
13,FALSE,-1820696.13401995,-8.01209701179593,0.000696676752668946,22-12-2023
14,TRUE,-2136918.758939,-9.39562065101447,0.0901677996321444,22-12-2023
14,FALSE,-1842038.84842882,-8.10586381839696,0.000743332766093091,22-12-2023
15,TRUE,,,,22-12-2023
15,FALSE,-1847558.14617822,-8.12997733430681,0.000807482649472427,22-12-2023
1,TRUE,-1578395.06301877,-8.12390173402689,0.000310719625808857,16-11-2024
1,FALSE,-1578395.06301877,-8.12390173402689,0.000310719625808857,16-11-2024
2,TRUE,-1583813.57450993,-8.15147722475085,0.00032192817401796,16-11-2024
2,FALSE,-1580650.44887354,-8.13530096900993,0.000322541873875635,16-11-2024
3,TRUE,-1600659.52787991,-8.23776648732599,0.000318993396692445,16-11-2024
3,FALSE,-1594554.12790518,-8.20665549177874,0.000309203606548428,16-11-2024
4,TRUE,-1617326.76714891,-8.32303111962844,0.000350679117082281,16-11-2024
4,FALSE,-1600411.0595733,-8.23659235390032,0.000311678334319724,16-11-2024
5,TRUE,-1649504.21864085,-8.48802407649179,0.000350557141772706,16-11-2024
5,FALSE,-1606381.75937457,-8.26711479547639,0.000310716596391076,16-11-2024
6,TRUE,-1669685.15224847,-8.59116462204488,0.000398851644044133,16-11-2024
6,FALSE,-1612635.22492794,-8.29909266934497,0.000319207184296429,16-11-2024
7,TRUE,-1701821.31795723,-8.75573554472238,0.000534337741781068,16-11-2024
7,FALSE,-1628492.48198597,-8.38050251361073,0.000307193538427747,16-11-2024
8,TRUE,-1731934.33089076,-8.90978827014377,0.000964317345282384,16-11-2024
8,FALSE,-1630490.9383545,-8.39057929893925,0.000340319973355907,16-11-2024
9,TRUE,-1783914.27946369,-9.17628820657756,0.00212598383468842,16-11-2024
9,FALSE,-1640994.2032863,-8.44443144579331,0.000338342010910917,16-11-2024
10,TRUE,-1820177.47817508,-9.36178721136111,0.0041706678231352,16-11-2024
10,FALSE,-1646878.36378569,-8.47450845826911,0.000370492801080019,16-11-2024
11,TRUE,-1880285.91229114,-9.6699159946759,0.00563769571030049,16-11-2024
11,FALSE,-1658348.12714346,-8.53333529887386,0.000375504453853807,16-11-2024
12,TRUE,-1923452.22401522,-9.89073669373085,0.00787318644294674,16-11-2024
12,FALSE,-1679762.06591853,-8.64334611037317,0.000372290408094877,16-11-2024
13,TRUE,,,,16-11-2024
13,FALSE,-1734778.53398671,-8.92631353306909,0.000473306301467757,16-11-2024
14,TRUE,,,,16-11-2024
14,FALSE,,,,16-11-2024
15,TRUE,,,,16-11-2024
15,FALSE,,,,16-11-2024
1,FALSE,-969249.437553552,-7.6257621380408,0.000498412413646697,average
1,TRUE,-969249.437553552,-7.6257621380408,0.000498412413646697,average
2,FALSE,-973244.387590323,-7.65827477319736,0.000512631469410305,average
2,TRUE,-974589.698453871,-7.67276691282297,0.000522624900492357,average
3,FALSE,-983875.488127249,-7.76121461634115,0.000482357953809203,average
3,TRUE,-995605.826493848,-7.91185336560651,0.000480609878364206,average
4,FALSE,-986527.636763864,-7.78268732122606,0.000501651676458583,average
4,TRUE,-1004148.80415602,-7.98822036235619,0.000562837993026734,average
5,FALSE,-1001851.76098336,-7.91138355443388,0.000494679363714031,average
5,TRUE,-1040943.65439295,-8.30711796666432,0.000533749296172976,average
6,FALSE,-1005217.41218604,-7.93608397737502,0.000519976081458584,average
6,TRUE,-1056997.1796816,-8.44320444483804,0.000697298719368879,average
7,FALSE,-1030470.81136289,-8.24234692765061,0.000415713750619926,average
7,TRUE,-1090754.96802823,-8.7958498589708,0.000717628261357044,average
8,FALSE,-1033679.84363307,-8.26020972576957,0.000445324275749295,average
8,TRUE,-1110651.74749829,-8.98224929805154,0.00117480807208448,average
9,FALSE,-1048782.09414689,-8.43516650689434,0.000391577742669795,average
9,TRUE,-1148435.15575682,-9.38340422606195,0.00181642165421688,average
10,FALSE,-1052835.97514482,-8.46230398898691,0.000416024070730198,average
10,TRUE,-1166835.65137736,-9.57406793673053,0.00393473230156553,average
11,FALSE,-1060871.0811072,-8.50732718183483,0.000422331734920963,average
11,TRUE,-1197727.06346762,-9.89365706699671,0.0119702503614111,average
12,FALSE,-1066810.17453596,-8.54837086312934,0.000452996786074376,average
12,TRUE,-1224074.5817941,-10.0759018638677,0.0354303477893795,average
13,FALSE,-1093268.79556956,-8.77740870375109,0.000459903892190016,average
13,TRUE,-1023681.4710737,-10.3857516067829,0.0675578692490112,average
14,FALSE,-887266.530938564,-8.77419065381177,0.000489212372414682,average
14,TRUE,-1419317.48005823,-10.2596537187026,0.05805009148752,average
15,FALSE,-893629.580329782,-8.86239396604875,0.000524577997380513,average
15,TRUE,-604997.519765103,-9.5811309259244,0.0808698549810152,average
